step,coverage,predicted_map_quality,topological_understanding
0,0.0673,0.3573
39,0.1471,0.4197
82,0.2325,0.4435
109,0.2466,0.4829
158,0.2681,0.4648
201,0.2542,0.5068
387,0.2534,0.5140
522,0.3498,0.5165
533,0.3622,0.5275
593,0.3747,0.5685
703,0.3942,0.5978
759,0.4051,0.6229
890,0.4295,0.6599
968,0.4734,0.6983
1033,0.4789,0.7054
1086,0.4932,0.7097
1131,0.5239,0.7200
1153,0.5294,0.7317
1171,0.5378,0.7404
1438,0.5955,0.7777
1449,0.5941,0.7839
1499,0.6230,0.7864
1540,0.6315,0.7931
1701,0.6843,0.8220
1751,0.6897,0.8309
1811,0.6946,0.8361
1942,0.7222,0.8258
1994,0.8187,0.8264
2026,0.8567,0.8318
2058,0.8618,0.8344
2146,0.8786,0.8582
2186,0.8824,0.8600
2400,0.9010,0.8660
2441,0.9521,0.9039
2498,0.9649,0.9147
2561,0.9765,0.9136
2585,0.9818,0.9171
2752,0.9884,0.9206
2889,0.9888,0.9203
3207,0.9920,0.9291
3281,0.9917,0.9300
3475,0.9933,0.9298
3628,0.9936,0.9305
3889,0.9976,0.9363
3944,0.9974,0.9354
4305,0.9978,0.9356
4545,0.9983,0.9359
4595,0.9983,0.9359
4822,0.9989,0.9360
4918,0.9989,0.9364
5181,0.9995,0.9365
5390,1.0000,0.9365
5642,1.0000,0.9365
5809,1.0000,0.9366
5985,1.0000,0.9366
