step,coverage,predicted_map_quality,topological_understanding
0,0.0673,0.3573
39,0.1471,0.4197
77,0.1411,0.4234
149,0.2332,0.4412
172,0.2432,0.4323
205,0.2469,0.4803
248,0.2629,0.4623
303,0.2933,0.4740
368,0.3251,0.5303
424,0.3387,0.5593
475,0.3824,0.6371
544,0.3941,0.6611
592,0.3957,0.6614
721,0.3885,0.6796
731,0.3885,0.6798
860,0.4597,0.6700
870,0.4698,0.6947
893,0.4662,0.7121
952,0.4727,0.7132
1003,0.4916,0.7181
1034,0.5212,0.7267
1063,0.5168,0.7367
1102,0.5351,0.7411
1202,0.5547,0.7742
1319,0.5990,0.7616
1364,0.6080,0.7754
1489,0.6444,0.7470
1522,0.6790,0.7374
1536,0.6866,0.7305
1573,0.7421,0.7400
1589,0.7476,0.7427
1639,0.7796,0.7752
1664,0.7877,0.7842
1730,0.7914,0.7853
1828,0.7961,0.7926
1869,0.8004,0.7955
1897,0.8007,0.8007
2059,0.8234,0.8357
2106,0.8493,0.8461
2136,0.8744,0.8498
2152,0.8749,0.8478
2174,0.8755,0.8502
2184,0.8757,0.8505
2213,0.8812,0.8545
2227,0.8812,0.8552
2478,0.8994,0.8846
2495,0.8963,0.8708
2688,0.9256,0.8780
2713,0.9249,0.8806
2752,0.9326,0.8885
2832,0.9602,0.8916
2865,0.9645,0.8980
2872,0.9646,0.8981
3097,0.9674,0.9020
3110,0.9679,0.9020
3250,0.9687,0.9047
3427,0.9724,0.9123
3630,0.9863,0.9156
3825,0.9887,0.9202
3993,0.9901,0.9248
4020,0.9903,0.9249
4374,0.9920,0.9246
4652,0.9922,0.9246
4836,0.9938,0.9253
4994,0.9936,0.9259
5265,0.9944,0.9323
5277,0.9946,0.9325
5620,0.9993,0.9363
