step,coverage,predicted_map_quality,topological_understanding
0,0.0673,0.3573
10,0.1026,0.4025
20,0.1356,0.4503
30,0.1415,0.4164
40,0.1419,0.4033
50,0.1419,0.4033
60,0.1437,0.4016
70,0.1442,0.3837
80,0.1442,0.3837
85,0.1442,0.3837
90,0.1442,0.3837
93,0.1442,0.3837
100,0.1442,0.3837
105,0.1428,0.3899
110,0.1428,0.3899
120,0.1428,0.3899
130,0.1428,0.3899
140,0.1428,0.3899
145,0.1428,0.3899
150,0.1428,0.3899
160,0.1450,0.3785
170,0.1447,0.3791
175,0.1447,0.3791
180,0.1447,0.3791
185,0.1447,0.3791
190,0.1447,0.3791
195,0.1447,0.3791
200,0.1450,0.3793
203,0.1450,0.3793
210,0.1450,0.3793
220,0.1436,0.3833
225,0.1445,0.3873
230,0.1457,0.4170
240,0.1576,0.3638
250,0.1576,0.3638
255,0.1576,0.3638
260,0.1576,0.3638
270,0.2242,0.4097
280,0.2261,0.4132
290,0.2288,0.4227
300,0.2340,0.4046
310,0.2340,0.4049
320,0.2338,0.4047
330,0.2430,0.4174
340,0.2734,0.4153
350,0.2866,0.4372
360,0.2804,0.4968
370,0.2799,0.4945
380,0.2911,0.4759
390,0.3164,0.4956
400,0.3094,0.5093
410,0.3067,0.5186
420,0.3070,0.5025
430,0.3249,0.5184
440,0.3440,0.5205
450,0.3576,0.5328
460,0.3819,0.5487
470,0.3789,0.5584
480,0.3916,0.5694
490,0.3912,0.5779
500,0.3891,0.5789
510,0.3919,0.5801
520,0.3899,0.5814
530,0.3890,0.5819
540,0.3890,0.5819
550,0.3890,0.5819
560,0.3890,0.5819
565,0.3890,0.5819
570,0.3890,0.5819
580,0.3924,0.5798
590,0.3924,0.5798
595,0.3924,0.5798
600,0.3924,0.5798
605,0.3924,0.5798
610,0.3924,0.5798
615,0.3924,0.5798
620,0.3924,0.5798
630,0.3924,0.5798
640,0.3924,0.5798
650,0.3930,0.5834
660,0.3925,0.5841
670,0.3928,0.5814
675,0.3928,0.5823
680,0.3928,0.5830
690,0.3928,0.5830
700,0.3928,0.5830
710,0.3928,0.5830
715,0.3928,0.5830
720,0.3928,0.5830
730,0.3928,0.5830
740,0.3928,0.5830
750,0.3928,0.5830
755,0.3928,0.5830
760,0.3928,0.5820
765,0.3928,0.5830
770,0.3929,0.5843
780,0.3928,0.5842
790,0.3930,0.5840
795,0.3933,0.5839
800,0.3933,0.5839
804,0.3933,0.5839
810,0.3914,0.5834
820,0.3906,0.5880
830,0.3974,0.5710
840,0.3969,0.5720
850,0.3970,0.5646
860,0.4122,0.5880
870,0.4515,0.6006
880,0.4392,0.6228
890,0.4411,0.6338
900,0.4625,0.6211
910,0.4684,0.6171
920,0.4730,0.6235
930,0.4732,0.6248
940,0.4767,0.6247
950,0.4767,0.6247
955,0.4767,0.6247
960,0.4767,0.6247
970,0.4748,0.6286
980,0.4739,0.6311
990,0.4741,0.6280
1000,0.4741,0.6280
1010,0.4741,0.6280
1020,0.5292,0.6413
1030,0.5226,0.6476
1040,0.5318,0.6575
1050,0.5308,0.6602
1060,0.5306,0.6593
1070,0.5275,0.6599
1080,0.5280,0.6606
1090,0.5236,0.6605
1100,0.5233,0.6602
1110,0.5229,0.6604
1120,0.5229,0.6604
1130,0.5229,0.6604
1140,0.5229,0.6604
1150,0.5229,0.6604
1160,0.5231,0.6604
1165,0.5233,0.6606
1169,0.5231,0.6606
1170,0.5230,0.6606
1180,0.5301,0.6551
1190,0.5513,0.6384
1200,0.5514,0.6371
1210,0.5525,0.6488
1215,0.5526,0.6484
1220,0.5531,0.6495
1230,0.5563,0.6543
1235,0.5619,0.6533
1240,0.5641,0.6541
1245,0.5686,0.6525
1250,0.5658,0.6540
1260,0.5654,0.6542
1264,0.5657,0.6544
1270,0.5656,0.6545
1280,0.5656,0.6547
1290,0.5662,0.6552
1295,0.5662,0.6552
1300,0.5662,0.6552
1310,0.5662,0.6552
1315,0.5662,0.6552
1320,0.5662,0.6552
1330,0.5662,0.6552
1335,0.5662,0.6552
1340,0.5662,0.6552
1345,0.5662,0.6552
1350,0.5662,0.6552
1360,0.5674,0.6529
1370,0.5674,0.6529
1375,0.5674,0.6529
1380,0.5674,0.6529
1390,0.5670,0.6532
1400,0.5670,0.6532
1410,0.5670,0.6532
1420,0.5670,0.6532
1425,0.5670,0.6532
1430,0.5670,0.6532
1440,0.5670,0.6532
1445,0.5670,0.6532
1450,0.5670,0.6532
1460,0.5670,0.6532
1465,0.5670,0.6532
1470,0.5670,0.6532
1474,0.5668,0.6535
1480,0.5668,0.6535
1490,0.5695,0.6528
1500,0.5913,0.6485
1510,0.5908,0.6484
1520,0.5909,0.6490
1530,0.5917,0.6541
1540,0.6217,0.6627
1550,0.6212,0.6745
1560,0.6190,0.6785
1570,0.6256,0.6834
1580,0.6446,0.6751
1590,0.6693,0.6439
1600,0.6782,0.6204
1610,0.6782,0.6204
1620,0.6794,0.6239
1630,0.6947,0.6359
1640,0.6947,0.6359
1650,0.6939,0.6364
1660,0.6931,0.6352
1670,0.6931,0.6353
1680,0.6980,0.6437
1690,0.6980,0.6437
1700,0.6980,0.6437
1710,0.6980,0.6437
1720,0.6980,0.6437
1730,0.7004,0.6378
1740,0.7004,0.6378
1750,0.7004,0.6378
1760,0.7096,0.6478
1770,0.7068,0.6579
1780,0.7104,0.6723
1785,0.7106,0.6721
1789,0.7106,0.6721
