bag,output_index,record_time_ns,width,height,occupied_cells,raster_sha256,exact_replay_match,matched_attempt_index,hash_multiplicity_in_recorded,startup_or_unrecovered
sense1-1,41,1746434320314836052,534,534,277869,4d78ecad9189279917920882b21af867583be903e99164ea9221c1ef0177f584,1,37,1,0
sense1-1,42,1746434320893346590,534,534,277642,7de6adb75374638de55418e36819a4499ccd2039e764ad8ca5b50d93450f9c09,1,38,1,0
sense1-1,43,1746434321329471332,534,534,277644,800e4863b785d33ab52a0ad7c1907a73a35e8b2015cf686e780e2e12145d649f,1,39,1,0
sense1-1,44,1746434321879390021,534,534,277563,9497f4c8c71b76cf68635ee94340ea2719c1a9d385e61df288acb8bae38daa7c,1,40,2,0
sense1-1,45,1746434322314392682,534,534,277563,9497f4c8c71b76cf68635ee94340ea2719c1a9d385e61df288acb8bae38daa7c,1,41,2,0
sense1-1,46,1746434322913084219,534,534,277909,f72932977a6463a60c7cf66fe6deae109937a4d4861230bcd386d390dc50b583,1,42,1,0
sense1-1,47,1746434323499029423,618,618,367776,7e4f23353e10ae8bda0b0ea47ebe5de8a5c5e1f2892170b12b6a7979f70cd180,1,43,1,0
sense1-1,48,1746434323931398051,534,534,277766,88c0ee7ce2274ad162187aef9761d053e7483e6bce45afcb30b35ea02e0a02be,1,44,1,0
sense1-1,49,1746434324503553780,615,615,360796,ef067cf0552ba350067add4ebf6ee580e46b596884b4bbdc3a42f969bfca1a4a,1,45,1,0
sense1-1,50,1746434325054650596,602,601,348032,cddd642291ecee4d5d27dbfccc090ff3a6f5bfa4c239b67987fc69d4d374d2d4,1,46,1,0
sense1-1,51,1746434325487880828,534,534,278107,9051a70000daafa4f6a901804c379704517ed66dc7f81dad90fc2475d3254d62,1,47,1,0
sense1-1,52,1746434326020565659,601,601,347096,7ba12dec512fec3dcab0507124de64b541e87132ec050048a799d64a5ec8fc05,1,48,1,0
sense1-1,53,1746434326453242816,534,534,278028,6bbac3837dbfd677d9e34feaa3e5457f116523cd6fd548bec763fb42c06c2d8e,1,49,1,0
sense1-1,54,1746434326895408122,538,534,277017,15f4fc3193f239b5a3c7a9d662f96d6602608dd260b886ad36294f95b50b8d33,1,50,1,0
sense1-1,55,1746434327486884206,624,625,375472,47cc5ea76af5f4771df4d398a242d0d5b43ddcca3ebd6fe0d49f03ea460a5de8,1,51,1,0
sense1-1,56,1746434328003023220,621,537,319655,14ca02195ee45661986cec0e2609c17d775c69c1e01e3feeba6c2b5db4247520,1,52,1,0
sense1-1,57,1746434328479613004,560,534,289028,304b473336ec81438636e2cf6ef5847bf0baae2c4bbb64226dde930be9742b7f,1,53,1,0
sense1-1,58,1746434328932582812,534,534,278057,0d7ee1bbb2ef07e8ce4a35d76bccf7229a3327dc9d030ca56253e90919cd6141,1,54,1,0
sense1-1,59,1746434329376378926,534,534,278056,3593e65d3276d8868cd4f531dd1de321839f46adb42fc4faf7d8a1bf623c57ff,1,55,1,0
sense1-1,60,1746434329931269720,534,534,277499,d3656c717ea7525768202654c285ed2903454e7e2e96bc19667d302853372c15,1,56,2,0
sense1-1,61,1746434330374224822,534,534,277499,d3656c717ea7525768202654c285ed2903454e7e2e96bc19667d302853372c15,1,57,2,0
sense1-1,62,1746434330920238324,534,534,278590,b6ff190e9b472dcf96e92f63f2e866a5d1f1e414f34c1e4545a1a0e7f3dd1645,1,58,1,0
sense1-1,63,1746434331367807836,534,534,278589,a299ecdc0570b6b4a4fe78f38893f56c81a554fce60d87756ee5cd24130bea0f,1,59,1,0
