bag,topic,message_type,message_count
sense2-1,/merged_map,nav_msgs/msg/OccupancyGrid,189
sense2-2,/robot_0/way_point,geometry_msgs/msg/PoseStamped,0
sense2-2,/tf,tf2_msgs/msg/TFMessage,1510
sense2-2,/robot_1/image_raw,sensor_msgs/msg/Image,0
sense2-2,/explored_areas,sensor_msgs/msg/PointCloud2,0
sense2-2,/robot_1/map,nav_msgs/msg/OccupancyGrid,26
sense2-2,/robot_1/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense2-2,/robot_1/way_point,geometry_msgs/msg/PoseStamped,0
sense2-2,/robot_0/predicted_map,nav_msgs/msg/OccupancyGrid,77
sense2-2,/merged_map,nav_msgs/msg/OccupancyGrid,147
sense2-2,/events/write_split,rosbag2_interfaces/msg/WriteSplitEvent,0
sense2-2,/explored_volume,std_msgs/msg/Float32,0
sense2-2,/clicked_point,geometry_msgs/msg/PointStamped,0
sense2-2,/initialpose,geometry_msgs/msg/PoseWithCovarianceStamped,0
sense2-2,/robot_0/map,nav_msgs/msg/OccupancyGrid,22
sense2-2,/move_base_simple/goal,geometry_msgs/msg/PoseStamped,0
sense2-2,/robot_1/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense2-2,/parameter_events,rcl_interfaces/msg/ParameterEvent,0
sense2-2,/explored_rgb_areas,sensor_msgs/msg/PointCloud2,0
sense2-2,/robot_1/predicted_map_global,nav_msgs/msg/OccupancyGrid,78
sense2-2,/robot_0/image_raw,sensor_msgs/msg/Image,0
sense2-2,/rosout,rcl_interfaces/msg/Log,10
sense2-2,/robot_0/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense2-2,/robot_0/predicted_map_global,nav_msgs/msg/OccupancyGrid,77
sense2-2,/robot_0/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense2-2,/traveling_distance,std_msgs/msg/Float32,0
sense2-2,/robot_1/predicted_map,nav_msgs/msg/OccupancyGrid,78
sense3-1,/robot_0/way_point,geometry_msgs/msg/PoseStamped,0
sense3-1,/tf,tf2_msgs/msg/TFMessage,1077
sense3-1,/robot_0/predicted_map_global,nav_msgs/msg/OccupancyGrid,55
sense3-1,/robot_0/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense3-1,/robot_0/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense3-1,/rosout,rcl_interfaces/msg/Log,14
sense3-1,/robot_0/image_raw,sensor_msgs/msg/Image,0
sense3-1,/parameter_events,rcl_interfaces/msg/ParameterEvent,0
sense3-1,/robot_1/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense3-1,/move_base_simple/goal,geometry_msgs/msg/PoseStamped,0
sense3-1,/robot_0/predicted_map,nav_msgs/msg/OccupancyGrid,55
sense3-1,/merged_map,nav_msgs/msg/OccupancyGrid,108
sense3-1,/events/write_split,rosbag2_interfaces/msg/WriteSplitEvent,0
sense3-1,/robot_1/way_point,geometry_msgs/msg/PoseStamped,0
sense3-1,/robot_1/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense3-1,/robot_1/predicted_map,nav_msgs/msg/OccupancyGrid,56
sense3-1,/traveling_distance,std_msgs/msg/Float32,0
sense3-1,/initialpose,geometry_msgs/msg/PoseWithCovarianceStamped,0
sense3-1,/robot_0/map,nav_msgs/msg/OccupancyGrid,15
sense3-1,/robot_1/map,nav_msgs/msg/OccupancyGrid,15
sense3-1,/robot_1/image_raw,sensor_msgs/msg/Image,0
sense3-1,/clicked_point,geometry_msgs/msg/PointStamped,0
sense3-1,/explored_volume,std_msgs/msg/Float32,0
sense3-1,/explored_rgb_areas,sensor_msgs/msg/PointCloud2,0
sense3-1,/robot_1/predicted_map_global,nav_msgs/msg/OccupancyGrid,56
sense3-1,/explored_areas,sensor_msgs/msg/PointCloud2,0
sense3-2,/robot_1/way_point,geometry_msgs/msg/PoseStamped,0
sense3-2,/tf,tf2_msgs/msg/TFMessage,1103
sense3-2,/robot_0/image_raw,sensor_msgs/msg/Image,0
sense3-2,/parameter_events,rcl_interfaces/msg/ParameterEvent,0
sense3-2,/robot_1/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense3-2,/move_base_simple/goal,geometry_msgs/msg/PoseStamped,0
sense3-2,/merged_map,nav_msgs/msg/OccupancyGrid,116
sense3-2,/robot_0/predicted_map,nav_msgs/msg/OccupancyGrid,58
sense3-2,/events/write_split,rosbag2_interfaces/msg/WriteSplitEvent,0
sense3-2,/robot_0/map,nav_msgs/msg/OccupancyGrid,21
sense3-2,/initialpose,geometry_msgs/msg/PoseWithCovarianceStamped,0
sense3-2,/robot_1/predicted_map,nav_msgs/msg/OccupancyGrid,57
sense3-2,/traveling_distance,std_msgs/msg/Float32,0
sense3-2,/robot_1/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense3-2,/robot_1/map,nav_msgs/msg/OccupancyGrid,22
sense3-2,/robot_1/image_raw,sensor_msgs/msg/Image,0
sense3-2,/robot_0/way_point,geometry_msgs/msg/PoseStamped,0
sense3-2,/rosout,rcl_interfaces/msg/Log,10
sense3-2,/robot_0/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense3-2,/clicked_point,geometry_msgs/msg/PointStamped,0
sense3-2,/explored_volume,std_msgs/msg/Float32,0
sense3-2,/robot_1/predicted_map_global,nav_msgs/msg/OccupancyGrid,57
sense3-2,/explored_rgb_areas,sensor_msgs/msg/PointCloud2,0
sense3-2,/robot_0/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense3-2,/robot_0/predicted_map_global,nav_msgs/msg/OccupancyGrid,58
sense3-2,/explored_areas,sensor_msgs/msg/PointCloud2,0
sense4-1,/tf,tf2_msgs/msg/TFMessage,1523
sense4-1,/robot_1/way_point,geometry_msgs/msg/PoseStamped,0
sense4-1,/move_base_simple/goal,geometry_msgs/msg/PoseStamped,0
sense4-1,/initialpose,geometry_msgs/msg/PoseWithCovarianceStamped,0
sense4-1,/robot_0/way_point,geometry_msgs/msg/PoseStamped,0
sense4-1,/robot_0/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense4-1,/robot_0/predicted_map_global,nav_msgs/msg/OccupancyGrid,80
sense4-1,/robot_0/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense4-1,/rosout,rcl_interfaces/msg/Log,10
sense4-1,/robot_0/map,nav_msgs/msg/OccupancyGrid,26
sense4-1,/robot_1/predicted_map,nav_msgs/msg/OccupancyGrid,80
sense4-1,/traveling_distance,std_msgs/msg/Float32,0
sense4-1,/robot_1/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense4-1,/robot_1/map,nav_msgs/msg/OccupancyGrid,26
sense4-1,/robot_1/image_raw,sensor_msgs/msg/Image,0
sense4-1,/robot_1/predicted_map_global,nav_msgs/msg/OccupancyGrid,80
sense4-1,/explored_rgb_areas,sensor_msgs/msg/PointCloud2,0
sense4-1,/explored_areas,sensor_msgs/msg/PointCloud2,0
sense4-1,/clicked_point,geometry_msgs/msg/PointStamped,0
sense4-1,/explored_volume,std_msgs/msg/Float32,0
sense4-1,/events/write_split,rosbag2_interfaces/msg/WriteSplitEvent,0
sense4-1,/robot_0/predicted_map,nav_msgs/msg/OccupancyGrid,80
sense4-1,/merged_map,nav_msgs/msg/OccupancyGrid,144
sense4-1,/robot_1/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense4-1,/parameter_events,rcl_interfaces/msg/ParameterEvent,0
sense4-1,/robot_0/image_raw,sensor_msgs/msg/Image,0
sense4-2,/robot_0/way_point,geometry_msgs/msg/PoseStamped,0
sense4-2,/tf,tf2_msgs/msg/TFMessage,1648
