t_s,known_cells,free_cells,occ_cells,free_area_m2,known_area_m2
0.000,913,816,97,2.0400,2.2825
0.164,913,816,97,2.0400,2.2825
1.164,913,816,97,2.0400,2.2825
2.164,913,816,97,2.0400,2.2825
3.164,913,816,97,2.0400,2.2825
4.165,913,816,97,2.0400,2.2825
5.164,913,816,97,2.0400,2.2825
6.164,913,816,97,2.0400,2.2825
7.164,913,816,97,2.0400,2.2825
8.164,913,816,97,2.0400,2.2825
9.164,913,816,97,2.0400,2.2825
10.164,913,816,97,2.0400,2.2825
11.164,913,816,97,2.0400,2.2825
12.164,913,816,97,2.0400,2.2825
13.164,913,816,97,2.0400,2.2825
14.164,913,816,97,2.0400,2.2825
15.164,913,816,97,2.0400,2.2825
16.164,913,816,97,2.0400,2.2825
17.164,913,816,97,2.0400,2.2825
18.164,913,816,97,2.0400,2.2825
19.164,913,816,97,2.0400,2.2825
20.164,913,816,97,2.0400,2.2825
21.164,913,816,97,2.0400,2.2825
22.164,913,816,97,2.0400,2.2825
23.164,913,816,97,2.0400,2.2825
24.164,913,816,97,2.0400,2.2825
25.164,913,816,97,2.0400,2.2825
26.164,913,816,97,2.0400,2.2825
27.166,913,816,97,2.0400,2.2825
28.164,913,816,97,2.0400,2.2825
29.164,913,816,97,2.0400,2.2825
30.164,913,816,97,2.0400,2.2825
31.164,913,816,97,2.0400,2.2825
32.164,913,816,97,2.0400,2.2825
33.164,913,816,97,2.0400,2.2825
34.164,913,816,97,2.0400,2.2825
35.164,913,816,97,2.0400,2.2825
36.164,913,816,97,2.0400,2.2825
37.164,913,816,97,2.0400,2.2825
38.164,913,816,97,2.0400,2.2825
39.164,913,816,97,2.0400,2.2825
40.164,913,816,97,2.0400,2.2825
41.164,913,816,97,2.0400,2.2825
42.164,913,816,97,2.0400,2.2825
43.164,913,816,97,2.0400,2.2825
44.164,913,816,97,2.0400,2.2825
45.164,913,816,97,2.0400,2.2825
46.165,913,816,97,2.0400,2.2825
47.164,1419,1275,144,3.1875,3.5475
48.164,1419,1275,144,3.1875,3.5475
49.164,1579,1417,162,3.5425,3.9475
50.164,1579,1417,162,3.5425,3.9475
51.165,1974,1791,183,4.4775,4.9350
52.165,1974,1791,183,4.4775,4.9350
53.164,2457,2227,230,5.5675,6.1425
54.164,2949,2687,262,6.7175,7.3725
55.164,2949,2687,262,6.7175,7.3725
56.165,3330,3027,303,7.5675,8.3250
57.165,3330,3027,303,7.5675,8.3250
58.164,3330,3027,303,7.5675,8.3250
59.165,3810,3449,361,8.6225,9.5250
60.165,3810,3449,361,8.6225,9.5250
61.166,3810,3449,361,8.6225,9.5250
62.165,4213,3812,401,9.5300,10.5325
63.167,4213,3812,401,9.5300,10.5325
64.166,4506,4069,437,10.1725,11.2650
65.164,4506,4069,437,10.1725,11.2650
66.166,4506,4069,437,10.1725,11.2650
67.165,4776,4292,484,10.7300,11.9400
68.165,4776,4292,484,10.7300,11.9400
69.165,5281,4730,551,11.8250,13.2025
70.166,5361,4773,588,11.9325,13.4025
71.166,5466,4858,608,12.1450,13.6650
72.168,5626,5002,624,12.5050,14.0650
73.166,5626,5002,624,12.5050,14.0650
74.166,5771,5136,635,12.8400,14.4275
75.168,5931,5260,671,13.1500,14.8275
76.167,6137,5444,693,13.6100,15.3425
77.166,6165,5469,696,13.6725,15.4125
78.168,6306,5591,715,13.9775,15.7650
79.166,6306,5591,715,13.9775,15.7650
80.168,6339,5618,721,14.0450,15.8475
81.167,6402,5670,732,14.1750,16.0050
82.174,7353,6572,781,16.4300,18.3825
83.175,7353,6572,781,16.4300,18.3825
84.173,8713,7845,868,19.6125,21.7825
85.170,8713,7845,868,19.6125,21.7825
86.170,8713,7845,868,19.6125,21.7825
87.167,8713,7845,868,19.6125,21.7825
88.173,9066,8186,880,20.4650,22.6650
89.173,9597,8679,918,21.6975,23.9925
90.167,9860,8882,978,22.2050,24.6500
