t_s,known_cells,free_cells,occ_cells,free_area_m2,known_area_m2
0.000,2050,1771,279,4.4275,5.1250
0.510,2050,1771,279,4.4275,5.1250
1.510,2050,1771,279,4.4275,5.1250
2.511,2050,1771,279,4.4275,5.1250
3.510,2050,1771,279,4.4275,5.1250
4.512,2050,1771,279,4.4275,5.1250
5.510,2050,1771,279,4.4275,5.1250
6.510,2050,1771,279,4.4275,5.1250
7.510,2050,1771,279,4.4275,5.1250
8.511,3088,2628,460,6.5700,7.7200
9.511,3088,2628,460,6.5700,7.7200
10.511,4090,3575,515,8.9375,10.2250
11.512,4090,3575,515,8.9375,10.2250
12.510,4090,3575,515,8.9375,10.2250
13.513,4090,3575,515,8.9375,10.2250
14.510,4090,3575,515,8.9375,10.2250
15.511,4090,3575,515,8.9375,10.2250
16.514,4090,3575,515,8.9375,10.2250
17.512,4090,3575,515,8.9375,10.2250
18.510,4090,3575,515,8.9375,10.2250
19.510,4090,3575,515,8.9375,10.2250
20.511,4090,3575,515,8.9375,10.2250
21.511,4090,3575,515,8.9375,10.2250
22.510,4090,3575,515,8.9375,10.2250
23.510,4090,3575,515,8.9375,10.2250
24.511,4090,3575,515,8.9375,10.2250
25.512,4090,3575,515,8.9375,10.2250
26.511,4090,3575,515,8.9375,10.2250
27.511,5517,4926,591,12.3150,13.7925
28.511,5517,4926,591,12.3150,13.7925
29.510,5517,4926,591,12.3150,13.7925
30.511,6366,5738,628,14.3450,15.9150
31.513,6366,5738,628,14.3450,15.9150
32.512,6366,5738,628,14.3450,15.9150
33.512,6366,5738,628,14.3450,15.9150
34.511,6366,5738,628,14.3450,15.9150
35.513,6366,5738,628,14.3450,15.9150
36.512,6366,5738,628,14.3450,15.9150
37.512,6366,5738,628,14.3450,15.9150
38.512,6366,5738,628,14.3450,15.9150
39.511,6366,5738,628,14.3450,15.9150
40.511,6366,5738,628,14.3450,15.9150
41.511,6366,5738,628,14.3450,15.9150
42.511,6366,5738,628,14.3450,15.9150
43.511,6366,5738,628,14.3450,15.9150
44.511,6366,5738,628,14.3450,15.9150
45.512,6366,5738,628,14.3450,15.9150
46.512,6366,5738,628,14.3450,15.9150
47.512,6366,5738,628,14.3450,15.9150
48.511,6366,5738,628,14.3450,15.9150
49.511,6366,5738,628,14.3450,15.9150
50.511,6366,5738,628,14.3450,15.9150
51.511,6366,5738,628,14.3450,15.9150
52.514,6366,5738,628,14.3450,15.9150
53.511,6366,5738,628,14.3450,15.9150
54.511,6848,6100,748,15.2500,17.1200
55.512,6848,6100,748,15.2500,17.1200
56.515,7530,6652,878,16.6300,18.8250
57.517,8064,7150,914,17.8750,20.1600
58.513,8519,7550,969,18.8750,21.2975
59.513,9223,8195,1028,20.4875,23.0575
60.514,9657,8569,1088,21.4225,24.1425
61.515,9657,8569,1088,21.4225,24.1425
62.513,9884,8740,1144,21.8500,24.7100
63.514,9884,8740,1144,21.8500,24.7100
64.513,9884,8740,1144,21.8500,24.7100
65.516,9884,8740,1144,21.8500,24.7100
66.517,10093,8911,1182,22.2775,25.2325
67.514,10093,8911,1182,22.2775,25.2325
68.513,10093,8911,1182,22.2775,25.2325
69.515,10093,8911,1182,22.2775,25.2325
70.514,10093,8911,1182,22.2775,25.2325
71.513,10093,8911,1182,22.2775,25.2325
72.515,10976,9741,1235,24.3525,27.4400
73.515,10976,9741,1235,24.3525,27.4400
74.514,10976,9741,1235,24.3525,27.4400
75.517,12315,10915,1400,27.2875,30.7875
76.513,12846,11343,1503,28.3575,32.1150
77.518,13518,11901,1617,29.7525,33.7950
78.517,14140,12414,1726,31.0350,35.3500
