t_s,known_cells,free_cells,occ_cells,free_area_m2,known_area_m2
0.000,727,648,79,1.6200,1.8175
0.752,727,648,79,1.6200,1.8175
1.751,727,648,79,1.6200,1.8175
2.752,727,648,79,1.6200,1.8175
3.752,727,648,79,1.6200,1.8175
4.751,727,648,79,1.6200,1.8175
5.752,727,648,79,1.6200,1.8175
6.752,727,648,79,1.6200,1.8175
7.752,1447,1268,179,3.1700,3.6175
8.755,2486,2246,240,5.6150,6.2150
9.752,3214,2890,324,7.2250,8.0350
10.753,3620,3260,360,8.1500,9.0500
11.753,4045,3666,379,9.1650,10.1125
12.753,4045,3666,379,9.1650,10.1125
13.757,4217,3820,397,9.5500,10.5425
14.753,4217,3820,397,9.5500,10.5425
15.754,4217,3820,397,9.5500,10.5425
16.752,4217,3820,397,9.5500,10.5425
17.753,4217,3820,397,9.5500,10.5425
18.754,4217,3820,397,9.5500,10.5425
19.753,4217,3820,397,9.5500,10.5425
20.754,4217,3820,397,9.5500,10.5425
21.753,5016,4574,442,11.4350,12.5400
22.753,5175,4715,460,11.7875,12.9375
23.753,5591,5084,507,12.7100,13.9775
24.754,6196,5622,574,14.0550,15.4900
25.754,6196,5622,574,14.0550,15.4900
26.755,6196,5622,574,14.0550,15.4900
27.753,7306,6672,634,16.6800,18.2650
28.753,7306,6672,634,16.6800,18.2650
29.753,7306,6672,634,16.6800,18.2650
30.755,7306,6672,634,16.6800,18.2650
31.753,7306,6672,634,16.6800,18.2650
32.757,7306,6672,634,16.6800,18.2650
33.754,7306,6672,634,16.6800,18.2650
34.754,7306,6672,634,16.6800,18.2650
35.756,7482,6822,660,17.0550,18.7050
36.757,7522,6849,673,17.1225,18.8050
37.753,7739,7040,699,17.6000,19.3475
38.755,7879,7137,742,17.8425,19.6975
39.756,7960,7186,774,17.9650,19.9000
40.754,8056,7259,797,18.1475,20.1400
41.755,8094,7298,796,18.2450,20.2350
42.756,8094,7298,796,18.2450,20.2350
43.757,8094,7298,796,18.2450,20.2350
44.755,8094,7298,796,18.2450,20.2350
45.757,8094,7298,796,18.2450,20.2350
46.757,8094,7298,796,18.2450,20.2350
47.756,8094,7298,796,18.2450,20.2350
48.758,8094,7298,796,18.2450,20.2350
49.755,8094,7298,796,18.2450,20.2350
50.754,8094,7298,796,18.2450,20.2350
51.755,8094,7298,796,18.2450,20.2350
52.754,8094,7298,796,18.2450,20.2350
53.754,8094,7298,796,18.2450,20.2350
54.755,8094,7298,796,18.2450,20.2350
55.756,8094,7298,796,18.2450,20.2350
56.755,8094,7298,796,18.2450,20.2350
57.755,8125,7303,822,18.2575,20.3125
58.755,8125,7303,822,18.2575,20.3125
59.756,8125,7303,822,18.2575,20.3125
60.755,8138,7314,824,18.2850,20.3450
61.756,8138,7314,824,18.2850,20.3450
62.757,8138,7314,824,18.2850,20.3450
63.756,8138,7314,824,18.2850,20.3450
64.756,8138,7314,824,18.2850,20.3450
65.754,8138,7314,824,18.2850,20.3450
66.755,8138,7314,824,18.2850,20.3450
67.754,8148,7316,832,18.2900,20.3700
68.756,8159,7323,836,18.3075,20.3975
69.756,8183,7345,838,18.3625,20.4575
70.757,8203,7351,852,18.3775,20.5075
71.754,8230,7371,859,18.4275,20.5750
72.756,8242,7379,863,18.4475,20.6050
73.755,8285,7414,871,18.5350,20.7125
74.758,8486,7607,879,19.0175,21.2150
75.755,8835,7923,912,19.8075,22.0875
76.759,9585,8610,975,21.5250,23.9625
77.758,10049,9006,1043,22.5150,25.1225
78.757,10424,9344,1080,23.3600,26.0600
79.757,10859,9739,1120,24.3475,27.1475
80.760,11117,9969,1148,24.9225,27.7925
81.761,11294,10121,1173,25.3025,28.2350
82.759,11447,10260,1187,25.6500,28.6175
83.757,11447,10260,1187,25.6500,28.6175
84.757,11620,10420,1200,26.0500,29.0500
85.756,11620,10420,1200,26.0500,29.0500
86.761,11620,10420,1200,26.0500,29.0500
87.763,11620,10420,1200,26.0500,29.0500
88.759,11620,10420,1200,26.0500,29.0500
