event_id,base_frame_cluster,seed,target_step,source_step,arm,observed_gate_accepted,observed_gate_score,observed_gate_threshold,observed_translation_error_m,observed_yaw_error_deg,observed_transform_within_thresholds,measured_persistent_hash,measured_path_grid_hash,frontier_candidate_hash,frontier_candidate_count,ranking_radius_m,ranking_radius_cells,source_prediction_included,selected_y,selected_x,selected_distance_cells,route_length_m,route_available,selected_prediction_free_support,selected_oracle_hidden_free_yield,selected_oracle_hidden_occupied,route_oracle_safe,route_oracle_collision_cells,route_oracle_unknown_cells,prediction_persisted,persistent_state_changed_by_ranking
SYN_a3_predicted_raw_P_s53_00240_03,a3_ours_multi_ours_orb|predicted_raw|sync_step_00240,53,240,240,predicted_free_ranking,true,0.7576424938388129,0.2,0.0436841425409579,0.001361932142998512,true,1648ea9783e0699076395e8c7f45e8439896b422ee618115e6b4a7d9fdab2572,1648ea9783e0699076395e8c7f45e8439896b422ee618115e6b4a7d9fdab2572,e0052ac3c76fe997243a7bd930555be2de8d1e54d4901f79864db05de960afd4,1059,1.0,20,true,48,422,250,12.5,true,223,0,0,false,0,3,false,false
SYN_a3_predicted_raw_P_s53_00390_04,a3_ours_multi_ours_orb|predicted_raw|sync_step_00390,53,390,390,measured_farthest,true,0.896639819866632,0.2,0.0190650745674427,0.017080680712183494,true,ee49c3888e1106eb555c163e4d1085a33ca015cf6d3217002c806795c04fe24b,ee49c3888e1106eb555c163e4d1085a33ca015cf6d3217002c806795c04fe24b,bfa4ce4e5cfc1f82f2f1ccccf992471b88ba3d02363071f3a8bc377780e5deb7,563,1.0,20,true,281,891,452,22.6,true,77,0,0,true,0,0,false,false
SYN_a3_predicted_raw_P_s53_00390_04,a3_ours_multi_ours_orb|predicted_raw|sync_step_00390,53,390,390,predicted_free_ranking,true,0.896639819866632,0.2,0.0190650745674427,0.017080680712183494,true,ee49c3888e1106eb555c163e4d1085a33ca015cf6d3217002c806795c04fe24b,ee49c3888e1106eb555c163e4d1085a33ca015cf6d3217002c806795c04fe24b,bfa4ce4e5cfc1f82f2f1ccccf992471b88ba3d02363071f3a8bc377780e5deb7,563,1.0,20,true,281,891,452,22.6,true,77,0,0,true,0,0,false,false
SYN_a3_predicted_raw_P_s53_00290_05,a3_ours_multi_ours_orb|predicted_raw|sync_step_00290,53,290,290,measured_farthest,true,0.8236299697176908,0.2,0.04490919673004479,0.016936104035750077,true,0bdd15e7988c61e75fb74aebcb76d9ee3c523274cb811ee63567d0e65c918ecc,0bdd15e7988c61e75fb74aebcb76d9ee3c523274cb811ee63567d0e65c918ecc,67c909073736684e660b2b0e7f1640121d23ac010071aa59b870e621ca6d4d9a,1025,1.0,20,true,281,891,452,22.6,true,21,1,0,true,0,0,false,false
SYN_a3_predicted_raw_P_s53_00290_05,a3_ours_multi_ours_orb|predicted_raw|sync_step_00290,53,290,290,predicted_free_ranking,true,0.8236299697176908,0.2,0.04490919673004479,0.016936104035750077,true,0bdd15e7988c61e75fb74aebcb76d9ee3c523274cb811ee63567d0e65c918ecc,0bdd15e7988c61e75fb74aebcb76d9ee3c523274cb811ee63567d0e65c918ecc,67c909073736684e660b2b0e7f1640121d23ac010071aa59b870e621ca6d4d9a,1025,1.0,20,true,195,104,437,21.85,true,96,0,3,false,3,0,false,false
SYN_a3_predicted_raw_P_s53_00080_06,a3_ours_multi_ours_orb|predicted_raw|sync_step_00080,53,80,80,measured_farthest,true,0.6518403069176357,0.2,0.04631601302840618,0.07038698229584384,true,ef6ccae67d668cf475d8335263dc3b066103c6b192261b8e81fc505bc2133e58,ef6ccae67d668cf475d8335263dc3b066103c6b192261b8e81fc505bc2133e58,fd6b9efea3dd518560bdb2b1ff3d1a52fab56d37954eee97ebf0df50294d331b,1431,1.0,20,true,280,890,450,22.5,true,115,28,16,false,0,1,false,false
SYN_a3_predicted_raw_P_s53_00080_06,a3_ours_multi_ours_orb|predicted_raw|sync_step_00080,53,80,80,predicted_free_ranking,true,0.6518403069176357,0.2,0.04631601302840618,0.07038698229584384,true,ef6ccae67d668cf475d8335263dc3b066103c6b192261b8e81fc505bc2133e58,ef6ccae67d668cf475d8335263dc3b066103c6b192261b8e81fc505bc2133e58,fd6b9efea3dd518560bdb2b1ff3d1a52fab56d37954eee97ebf0df50294d331b,1431,1.0,20,true,145,723,306,15.3,true,168,0,1,false,8,0,false,false
SYN_a3_predicted_raw_P_s53_00130_07,a3_ours_multi_ours_orb|predicted_raw|sync_step_00130,53,130,130,measured_farthest,true,0.834673327609086,0.2,0.020613109369422185,0.10951010252853166,true,49fd3094581f8edc49aeffbdf267b81ee9c92a878b694c29151d54da162b0677,49fd3094581f8edc49aeffbdf267b81ee9c92a878b694c29151d54da162b0677,a9ebc10e604b057e58e75274fbec1e3483979eda59724e8c04c0e6f18ff0da8d,1138,1.0,20,true,282,891,453,22.650000000000002,true,23,0,4,false,0,3,false,false
SYN_a3_predicted_raw_P_s53_00130_07,a3_ours_multi_ours_orb|predicted_raw|sync_step_00130,53,130,130,predicted_free_ranking,true,0.834673327609086,0.2,0.020613109369422185,0.10951010252853166,true,49fd3094581f8edc49aeffbdf267b81ee9c92a878b694c29151d54da162b0677,49fd3094581f8edc49aeffbdf267b81ee9c92a878b694c29151d54da162b0677,a9ebc10e604b057e58e75274fbec1e3483979eda59724e8c04c0e6f18ff0da8d,1138,1.0,20,true,219,307,242,12.100000000000001,true,139,13,9,false,0,3,false,false
SYN_a3_predicted_raw_P_s53_00040_08,a3_ours_multi_ours_orb|predicted_raw|sync_step_00040,53,40,40,measured_farthest,false,0.0,0.2,,,,f586da8d20f8a4f42eacde27ebef0b9279038477a8ae1cecffebfcd15f71a19e,f586da8d20f8a4f42eacde27ebef0b9279038477a8ae1cecffebfcd15f71a19e,3944c6e43b71ad7d7c418857a6313078e6aed038f3d1afd00972249366a9fe35,1632,1.0,20,false,336,663,279,13.950000000000001,true,0,0,0,true,0,0,false,false
