event_id,base_frame_cluster,seed,target_step,source_step,arm,observed_gate_accepted,observed_gate_score,observed_gate_threshold,observed_reject_reason,observed_translation_error_m,observed_yaw_error_deg,observed_transform_within_thresholds,measured_atomic_committed,measured_changed_cells,measured_persistent_hash,planner_input_hash,prediction_persisted,source_prediction_included,measured_known_support_cells,planner_known_support_cells,provisional_support_gain_cells,provisional_free_gain_cells,provisional_occupied_gain_cells,reachable_free_cells,reachable_frontiers,route_available,route_length_m,route_oracle_safe,route_oracle_collision_cells,route_oracle_unknown_cells,persistent_hash_after_planning,persistent_state_changed_by_planning
SYN_a3_predicted_raw_P_s37_00230_02,a3_ours_multi_ours_orb|predicted_raw|sync_step_00230,37,230,230,measured_plus_provisional,true,0.802186216846077,0.2,accepted,0.054831571879417514,0.04253260458585828,true,true,33050,b4a3f2ed1d231091dd0c894e04199b88725ec96339ba70b6f11c54ed2b6bf830,3891cb3b6e3693606d4b55db54cda194ae5b665985ff936526ad0747ac84e53e,false,true,206217,237590,31373,16235,15138,164451,941,true,23.700000000000003,false,3,1,b4a3f2ed1d231091dd0c894e04199b88725ec96339ba70b6f11c54ed2b6bf830,false
SYN_a3_predicted_raw_P_s37_00130_03,a3_ours_multi_ours_orb|predicted_raw|sync_step_00130,37,130,130,measured_only,true,0.6110373897431894,0.2,accepted,0.13297779995537162,0.05883805505533246,true,true,27700,b1d9b3c2995d5181780319e24636769cca88be9ed255bc0d763cbe96b854e7b3,b1d9b3c2995d5181780319e24636769cca88be9ed255bc0d763cbe96b854e7b3,false,true,146466,146466,0,0,0,118115,1120,true,22.700000000000003,false,0,8,b1d9b3c2995d5181780319e24636769cca88be9ed255bc0d763cbe96b854e7b3,false
SYN_a3_predicted_raw_P_s37_00130_03,a3_ours_multi_ours_orb|predicted_raw|sync_step_00130,37,130,130,measured_plus_provisional,true,0.6110373897431894,0.2,accepted,0.13297779995537162,0.05883805505533246,true,true,27700,b1d9b3c2995d5181780319e24636769cca88be9ed255bc0d763cbe96b854e7b3,1d14bd00cffccf03aa56c39aa85de2b0a252aacb1ba8e0c6bf98772e550b89e9,false,true,146466,164882,18416,7220,11196,117945,1011,true,22.700000000000003,false,0,8,b1d9b3c2995d5181780319e24636769cca88be9ed255bc0d763cbe96b854e7b3,false
SYN_a3_predicted_raw_P_s37_00270_04,a3_ours_multi_ours_orb|predicted_raw|sync_step_00270,37,270,270,measured_only,true,0.7987085385115674,0.2,accepted,0.043282779285981655,0.0106483218825133,true,true,28899,05924dcabd62a125ab52f2e14ad339de9530c5af3e593c0a9c865a08deffd33c,05924dcabd62a125ab52f2e14ad339de9530c5af3e593c0a9c865a08deffd33c,false,true,229115,229115,0,0,0,182199,651,true,23.6,false,11,0,05924dcabd62a125ab52f2e14ad339de9530c5af3e593c0a9c865a08deffd33c,false
SYN_a3_predicted_raw_P_s37_00270_04,a3_ours_multi_ours_orb|predicted_raw|sync_step_00270,37,270,270,measured_plus_provisional,true,0.7987085385115674,0.2,accepted,0.043282779285981655,0.0106483218825133,true,true,28899,05924dcabd62a125ab52f2e14ad339de9530c5af3e593c0a9c865a08deffd33c,b57e5061a29aa975d729b8561ed32e79bec092194d468e389d4aed9eeced5d3d,false,true,229115,250302,21187,3822,17365,182125,588,true,23.6,false,11,0,05924dcabd62a125ab52f2e14ad339de9530c5af3e593c0a9c865a08deffd33c,false
SYN_a3_predicted_raw_P_s37_00070_05,a3_ours_multi_ours_orb|predicted_raw|sync_step_00070,37,70,70,measured_only,true,0.6614282122202665,0.2,accepted,0.044350272581239795,0.10208399294845094,true,true,33611,0b103df2af0799e1d77e63530bb3f677b0a689c55e9a5a5f59fc772d655b2e5d,0b103df2af0799e1d77e63530bb3f677b0a689c55e9a5a5f59fc772d655b2e5d,false,true,120582,120582,0,0,0,99630,1247,true,21.650000000000002,false,0,1,0b103df2af0799e1d77e63530bb3f677b0a689c55e9a5a5f59fc772d655b2e5d,false
SYN_a3_predicted_raw_P_s37_00070_05,a3_ours_multi_ours_orb|predicted_raw|sync_step_00070,37,70,70,measured_plus_provisional,true,0.6614282122202665,0.2,accepted,0.044350272581239795,0.10208399294845094,true,true,33611,0b103df2af0799e1d77e63530bb3f677b0a689c55e9a5a5f59fc772d655b2e5d,ecc55d2a5c4e94aacb7df71a44c7bbb6480babd91c961eaf841b42b0fc08fc05,false,true,120582,143314,22732,14487,8245,100112,1337,true,21.650000000000002,false,0,1,0b103df2af0799e1d77e63530bb3f677b0a689c55e9a5a5f59fc772d655b2e5d,false
SYN_a3_predicted_raw_P_s37_00040_06,a3_ours_multi_ours_orb|predicted_raw|sync_step_00040,37,40,40,measured_only,false,0.30275846602377215,0.2,low_inlier_ratio,0.09971700144060408,0.45802340653793294,true,false,0,f586da8d20f8a4f42eacde27ebef0b9279038477a8ae1cecffebfcd15f71a19e,f586da8d20f8a4f42eacde27ebef0b9279038477a8ae1cecffebfcd15f71a19e,false,false,59598,59598,0,0,0,51500,1632,true,13.950000000000001,false,4,0,f586da8d20f8a4f42eacde27ebef0b9279038477a8ae1cecffebfcd15f71a19e,false
SYN_a3_predicted_raw_P_s37_00040_06,a3_ours_multi_ours_orb|predicted_raw|sync_step_00040,37,40,40,measured_plus_provisional,false,0.30275846602377215,0.2,low_inlier_ratio,0.09971700144060408,0.45802340653793294,true,false,0,f586da8d20f8a4f42eacde27ebef0b9279038477a8ae1cecffebfcd15f71a19e,367ff96a206923d9e779520574d985ff2ec5120440d859cd4416b6248b20ce88,false,false,59598,70871,11273,7094,4179,51473,1616,true,13.950000000000001,false,4,0,f586da8d20f8a4f42eacde27ebef0b9279038477a8ae1cecffebfcd15f71a19e,false
SYN_a3_predicted_raw_P_s37_00340_07,a3_ours_multi_ours_orb|predicted_raw|sync_step_00340,37,340,340,measured_only,true,0.8477193292925718,0.2,accepted,0.02592935819723971,0.025630220998465347,true,true,19449,88f43d306a59ad8a923623115044936010dee20760457eb44646d9943e004010,88f43d306a59ad8a923623115044936010dee20760457eb44646d9943e004010,false,true,225696,225696,0,0,0,180089,818,true,22.6,false,0,1,88f43d306a59ad8a923623115044936010dee20760457eb44646d9943e004010,false
