step,coverage,merge_success,n_explored,n_acc_black,mso_coverage
1,0.074925,0,41404,552609,0.057127
2,0.139192,0,76919,552609,0.057127
3,0.160821,0,88871,552609,0.057127
4,0.205388,0,113499,552609,0.057127
5,0.260844,1,144145,552609,0.183774
6,0.290811,1,160705,552609,0.200876
7,0.318104,1,175787,552609,0.225074
8,0.330221,1,182483,552609,0.234848
9,0.368541,1,203659,552609,0.240465
10,0.369858,1,204387,552609,0.241109
11,0.370124,1,204534,552609,0.241116
12,0.388436,1,214653,552609,0.247278
13,0.402085,1,222196,552609,0.260928
14,0.408964,1,225997,552609,0.267786
15,0.415464,1,229589,552609,0.268763
16,0.418799,1,231432,552609,0.418799
17,0.420259,1,232239,552609,0.420259
18,0.434904,1,240332,552609,0.434904
19,0.448845,1,248036,552609,0.448845
20,0.479638,1,265052,552609,0.479638
21,0.514007,1,284045,552609,0.514007
22,0.522378,1,288671,552609,0.522378
23,0.525920,1,290628,552609,0.525920
24,0.556915,1,307756,552609,0.556915
25,0.580229,1,320640,552609,0.580229
26,0.602576,1,332989,552609,0.602576
27,0.602820,1,333124,552609,0.602820
28,0.604464,1,334032,552609,0.604464
29,0.615971,1,340391,552609,0.615971
30,0.643728,1,355730,552609,0.643728
31,0.656627,1,362858,552609,0.656627
32,0.657745,1,363476,552609,0.657745
33,0.659729,1,364572,552609,0.659729
34,0.675854,1,373483,552609,0.675854
35,0.694339,1,383698,552609,0.694339
36,0.708646,1,391604,552609,0.708646
37,0.725218,1,400762,552609,0.725218
38,0.726964,1,401727,552609,0.726964
39,0.726964,1,401727,552609,0.726964
40,0.726964,1,401727,552609,0.726964
41,0.726973,1,401732,552609,0.726973
42,0.726973,1,401732,552609,0.726973
43,0.726973,1,401732,552609,0.726973
44,0.730080,1,403449,552609,0.730080
45,0.732442,1,404754,552609,0.732442
46,0.739903,1,408877,552609,0.739903
47,0.742272,1,410186,552609,0.742272
48,0.742771,1,410462,552609,0.742771
49,0.742771,1,410462,552609,0.742771
50,0.742771,1,410462,552609,0.742771
51,0.742771,1,410462,552609,0.742771
52,0.743187,1,410692,552609,0.743187
53,0.743265,1,410735,552609,0.743265
54,0.743567,1,410902,552609,0.743567
55,0.744803,1,411585,552609,0.744803
56,0.745815,1,412144,552609,0.745815
57,0.750437,1,414698,552609,0.750437
58,0.755427,1,417456,552609,0.755427
59,0.755815,1,417670,552609,0.755815
60,0.756383,1,417984,552609,0.756383
61,0.756437,1,418014,552609,0.756437
62,0.756437,1,418014,552609,0.756437
63,0.756443,1,418017,552609,0.756443
64,0.756443,1,418017,552609,0.756443
65,0.756443,1,418017,552609,0.756443
66,0.756443,1,418017,552609,0.756443
67,0.756443,1,418017,552609,0.756443
68,0.756443,1,418017,552609,0.756443
69,0.756443,1,418017,552609,0.756443
70,0.756443,1,418017,552609,0.756443
71,0.761392,1,420752,552609,0.761392
72,0.765056,1,422777,552609,0.765056
73,0.765060,1,422779,552609,0.765060
74,0.765060,1,422779,552609,0.765060
75,0.765060,1,422779,552609,0.765060
76,0.765060,1,422779,552609,0.765060
77,0.765060,1,422779,552609,0.765060
78,0.765167,1,422838,552609,0.765167
79,0.765382,1,422957,552609,0.765382
80,0.770147,1,425590,552609,0.770147
81,0.795278,1,439478,552609,0.795278
82,0.812417,1,448949,552609,0.812417
83,0.812815,1,449169,552609,0.812815
84,0.812815,1,449169,552609,0.812815
85,0.812815,1,449169,552609,0.812815
86,0.812815,1,449169,552609,0.812815
87,0.812815,1,449169,552609,0.812815
88,0.812815,1,449169,552609,0.812815
89,0.812815,1,449169,552609,0.812815
90,0.812815,1,449169,552609,0.812815
91,0.812842,1,449184,552609,0.812842
92,0.812862,1,449195,552609,0.812862
93,0.812862,1,449195,552609,0.812862
94,0.813892,1,449764,552609,0.813892
95,0.813892,1,449764,552609,0.813892
96,0.813892,1,449764,552609,0.813892
97,0.813892,1,449764,552609,0.813892
98,0.813892,1,449764,552609,0.813892
99,0.813892,1,449764,552609,0.813892
100,0.813892,1,449764,552609,0.813892
101,0.813892,1,449764,552609,0.813892
102,0.814963,1,450356,552609,0.814963
103,0.816487,1,451198,552609,0.816487
104,0.822761,1,454665,552609,0.822761
105,0.822761,1,454665,552609,0.822761
106,0.822761,1,454665,552609,0.822761
107,0.822761,1,454665,552609,0.822761
108,0.822761,1,454665,552609,0.822761
109,0.822761,1,454665,552609,0.822761
110,0.822761,1,454665,552609,0.822761
111,0.822770,1,454670,552609,0.822770
112,0.822770,1,454670,552609,0.822770
113,0.822835,1,454706,552609,0.822835
114,0.823425,1,455032,552609,0.823425
115,0.825593,1,456230,552609,0.825593
116,0.825593,1,456230,552609,0.825593
117,0.825593,1,456230,552609,0.825593
118,0.825593,1,456230,552609,0.825593
119,0.825593,1,456230,552609,0.825593
120,0.825593,1,456230,552609,0.825593
121,0.825593,1,456230,552609,0.825593
122,0.825593,1,456230,552609,0.825593
123,0.825593,1,456230,552609,0.825593
124,0.825602,1,456235,552609,0.825602
125,0.825602,1,456235,552609,0.825602
126,0.825602,1,456235,552609,0.825602
127,0.825602,1,456235,552609,0.825602
128,0.825602,1,456235,552609,0.825602
129,0.825602,1,456235,552609,0.825602
