step,coverage,merge_success,n_explored,n_acc_black,mso_coverage
1,0.074925,0,41404,552609,0.057127
2,0.104510,0,57753,552609,0.057127
3,0.128281,0,70889,552609,0.057127
4,0.138959,0,76790,552609,0.057127
5,0.184599,1,102011,552609,0.184599
6,0.212628,1,117500,552609,0.212628
7,0.229473,1,126809,552609,0.229473
8,0.235345,1,130054,552609,0.235345
9,0.240968,1,133161,552609,0.240968
10,0.241109,1,133239,552609,0.241109
11,0.241116,1,133243,552609,0.241116
12,0.258342,1,142762,552609,0.258342
13,0.262526,1,145074,552609,0.262526
14,0.268586,1,148423,552609,0.268586
15,0.268763,1,148521,552609,0.268763
16,0.269675,1,149025,552609,0.269675
17,0.274831,1,151874,552609,0.274831
18,0.289586,1,160028,552609,0.289586
19,0.308294,1,170366,552609,0.308294
20,0.355094,1,196228,552609,0.355094
21,0.364578,1,201469,552609,0.364578
22,0.373063,1,206158,552609,0.373063
23,0.396215,1,218952,552609,0.396215
24,0.412648,1,228033,552609,0.412648
25,0.446288,1,246623,552609,0.446288
26,0.452781,1,250211,552609,0.452781
27,0.454555,1,251191,552609,0.454555
28,0.461532,1,255047,552609,0.461532
29,0.471768,1,260703,552609,0.471768
30,0.506501,1,279897,552609,0.506501
31,0.507199,1,280283,552609,0.507199
32,0.509755,1,281695,552609,0.509755
33,0.509908,1,281780,552609,0.509908
34,0.540033,1,298427,552609,0.540033
35,0.540634,1,298759,552609,0.540634
36,0.540634,1,298759,552609,0.540634
37,0.540634,1,298759,552609,0.540634
38,0.540634,1,298759,552609,0.540634
39,0.540634,1,298759,552609,0.540634
40,0.540643,1,298764,552609,0.540643
41,0.540643,1,298764,552609,0.540643
42,0.540643,1,298764,552609,0.540643
43,0.540643,1,298764,552609,0.540643
44,0.542190,1,299619,552609,0.542190
45,0.551573,1,304804,552609,0.551573
46,0.556944,1,307772,552609,0.556944
47,0.575646,1,318107,552609,0.575646
48,0.585812,1,323725,552609,0.585812
49,0.592993,1,327693,552609,0.592993
50,0.612815,1,338647,552609,0.612815
51,0.637822,1,352466,552609,0.637822
52,0.662519,1,366114,552609,0.662519
53,0.676241,1,373697,552609,0.676241
54,0.678655,1,375031,552609,0.678655
55,0.682973,1,377417,552609,0.682973
56,0.688409,1,380421,552609,0.688409
57,0.691815,1,382303,552609,0.691815
58,0.705117,1,389654,552609,0.705117
59,0.711867,1,393384,552609,0.711867
60,0.726219,1,401315,552609,0.726219
61,0.737930,1,407787,552609,0.737930
62,0.742670,1,410406,552609,0.742670
63,0.742672,1,410407,552609,0.742672
64,0.742672,1,410407,552609,0.742672
65,0.742672,1,410407,552609,0.742672
66,0.742672,1,410407,552609,0.742672
67,0.742829,1,410494,552609,0.742829
68,0.763695,1,422025,552609,0.763695
69,0.763927,1,422153,552609,0.763927
70,0.763927,1,422153,552609,0.763927
71,0.763927,1,422153,552609,0.763927
72,0.763927,1,422153,552609,0.763927
73,0.763927,1,422153,552609,0.763927
74,0.763927,1,422153,552609,0.763927
75,0.763927,1,422153,552609,0.763927
76,0.764034,1,422212,552609,0.764034
77,0.764249,1,422331,552609,0.764249
78,0.790582,1,436883,552609,0.790582
79,0.810569,1,447928,552609,0.810569
80,0.811682,1,448543,552609,0.811682
81,0.811682,1,448543,552609,0.811682
82,0.811682,1,448543,552609,0.811682
83,0.811682,1,448543,552609,0.811682
84,0.811682,1,448543,552609,0.811682
85,0.811682,1,448543,552609,0.811682
86,0.811682,1,448543,552609,0.811682
87,0.811682,1,448543,552609,0.811682
88,0.811682,1,448543,552609,0.811682
89,0.811729,1,448569,552609,0.811729
90,0.811729,1,448569,552609,0.811729
91,0.811729,1,448569,552609,0.811729
92,0.811729,1,448569,552609,0.811729
93,0.811729,1,448569,552609,0.811729
94,0.813199,1,449381,552609,0.813199
95,0.813199,1,449381,552609,0.813199
96,0.813199,1,449381,552609,0.813199
97,0.813199,1,449381,552609,0.813199
98,0.813199,1,449381,552609,0.813199
99,0.813199,1,449381,552609,0.813199
100,0.813215,1,449390,552609,0.813215
101,0.814661,1,450189,552609,0.814661
102,0.822459,1,454498,552609,0.822459
103,0.822459,1,454498,552609,0.822459
104,0.822459,1,454498,552609,0.822459
105,0.822459,1,454498,552609,0.822459
106,0.822459,1,454498,552609,0.822459
107,0.822459,1,454498,552609,0.822459
108,0.822459,1,454498,552609,0.822459
